official_title,instrument_number,issuing_body,instrument_type,publication_date,normative_status,status,permanent_link,regulatory_stage,supporting_excerpt,decision,notes,source_category
"Decreto nº 12.642, de 1º de outubro de 2025 — Estrutura Regimental do MAPA",12.642/2025,MAPA / Presidência da República,Decreto,2025-10-01,In force,In force,http://www.planalto.gov.br/ccivil_03/_ato2023-2026/2025/decreto/D12642.htm,Competências gerais do MAPA,"""Secretaria de Defesa Agropecuária: 1. Departamento de Sanidade Vegetal e Insumos Agrícolas; 2. Departamento de Saúde Animal; 3. Departamento de Inspeção de Produtos de Origem Vegetal; 4. Departamento de Inspeção de Produtos de Origem Animal;"" (art. 2º, Anexo I)",Included,,Current norm
"RESOLUÇÃO - RDC Nº 839, DE 14 DE DEZEMBRO DE 2023",RDC 839/2023,ANVISA,Resolução (RDC),2023-12-14,In force,In force,https://www.in.gov.br/en/web/dou/-/resolucao-rdc-n-839-de-14-de-dezembro-de-2023-531394967,Avaliação de segurança / Registration,"""Dispõe sobre a comprovação de segurança e a autorização de uso de novos alimentos e novos ingredientes."" (ementa)",Included,,Current norm
"Decreto nº 9.013, de 29 de março de 2017 — RIISPOA",9.013/2017,MAPA,Decreto,2017-03-29,In force,In force,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2017/decreto/d9013.htm,Registration / Inspeção de produtos de origem animal,"""Este Decreto dispõe sobre o regulamento da inspeção industrial e sanitária de produtos de origem animal."" (art. 1º)",Included,,Current norm
"Decreto nº 3.029, de 16 de abril de 1999 — Regulamento da ANVISA",3.029/1999,ANVISA,Decreto,1999-04-16,In force,In force,https://www.planalto.gov.br/ccivil_03/decreto/d3029.htm,Competências gerais da ANVISA,"""Aprova o Regulamento da Agência Nacional de Vigilância Sanitária, e dá outras providências."" (ementa)",Included,,Current norm
"Portaria SDA nº 558, de 30 de março de 2022",558/2022,MAPA,Portaria,2022-03-30,In force,In force,https://www.gov.br/agricultura/pt-br/assuntos/inspecao/produtos-animal/empresario/registro-de-produtos-rotulagem,Registration de produtos de origem animal,"""Todos os produtos entregues ao comércio devem estar identificados por meio de rótulos registrados no DIPOA, quer quando destinados ao consumo direto, quer quando se destinam a outros estabelecimentos que os vão beneficiar.""",Included,,Current norm
"Instrução Normativa GAB/MAPA nº 22, de 24 de novembro de 2005",IN MAPA 22/2005,MAPA,Instrução Normativa,2005-11-24,In force com alterações,In force com alterações,https://www.gov.br/agricultura/pt-br/assuntos/inspecao/produtos-animal/legislacao,Labelling de produtos de origem animal,"""O presente Regulamento Técnico deve ser aplicado à rotulagem de todo produto de origem animal que seja destinado ao comércio interestadual e internacional, qualquer que seja sua origem, embalado na ausência do cliente e pronto para oferta ao consumidor.""",Included,,Current norm
"Portaria GAB/MAPA nº 240, de 23 de julho de 2021",240/2021,MAPA,Portaria,2021-07-23,In force,In force,https://in.gov.br/en/web/dou/-/portaria-n-240-de-23-de-julho-de-2021-334483686,Labelling de produtos de origem animal,"""Altera o anexo da Instrução Normativa MAPA nº 22, de 24 de novembro de 2005, que aprova o Regulamento Técnico para rotulagem de produto de origem animal embalado."" (ementa)",Included,,Current norm
"Resolução - RDC nº 727, de 1º de julho de 2022",RDC 727/2022,ANVISA,Resolução (RDC),2022-07-01,In force,In force,https://www.in.gov.br/en/web/dou/-/resolucao-rdc-n-727-de-1-de-julho-de-2022-413249279,Labelling geral de alimentos embalados,"""Dispõe sobre a rotulagem dos alimentos embalados."" (ementa)",Included,,Current norm
"Resolução - RDC nº 429, de 8 de outubro de 2020",RDC 429/2020,ANVISA,Resolução (RDC),2020-10-08,In force,In force,https://www.in.gov.br/en/web/dou/-/resolucao-de-diretoria-colegiada-rdc-n-429-de-8-de-outubro-de-2020-282070599,Labelling nutricional,"""Dispõe sobre a rotulagem nutricional dos alimentos embalados."" (ementa)",Included,,Current norm
"Instrução Normativa IN nº 75, de 8 de outubro de 2020",IN 75/2020,ANVISA,Instrução Normativa,2020-10-08,In force,In force,https://www.in.gov.br/en/web/dou/-/instrucao-normativa-in-n-75-de-8-de-outubro-de-2020-282071143,Labelling nutricional,"""Estabelece os requisitos técnicos para declaração da rotulagem nutricional nos alimentos embalados."" (ementa)",Included,,Current norm
"Resolução - RDC nº 259, de 20 de setembro de 2002",RDC 259/2002,ANVISA,Resolução (RDC),2002-09-20,Revoked/consolidated,Fora de vigor como referência geral,https://files.cercomp.ufg.br/weby/up/912/o/resoluo_rdc_n_259_2002_-_rotulagem_em_geral.pdf,Labelling geral de alimentos embalados,"""Art. 1º Aprovar o Regulamento Técnico sobre Rotulagem de Alimentos Embalados."" (art. 1º)",Included,,Historical norm
"Resolução - RDC nº 360, de 23 de dezembro de 2003",RDC 360/2003,ANVISA,Resolução (RDC),2003-12-23,Substituída no marco vigente,Fora de vigor como referência atual,https://bvsms.saude.gov.br/bvs/saudelegis/anvisa/2003/rdc0360_23_12_2003.html,Labelling nutricional,Ex-marco vigente de rotulagem nutricional; aqui só para contexto diante de alterações,Excluded,"Excluído durante a triagem de texto completo, impossível de recuperar texto de fonte oficial verificável ",Historical norm
"Resolução - RDC nº 359, de 23 de dezembro de 2003",RDC 359/2003,ANVISA,Resolução (RDC),2003-12-23,Substituída no marco vigente,Fora de vigor como referência atual,https://bvsms.saude.gov.br/bvs/saudelegis/anvisa/2003/rdc0359_23_12_2003.html,Porções e medidas caseiras,Ex-marco vigente de porções; aqui só para contexto diante de alterações,Excluded,"Excluído durante a triagem de texto completo, impossível de recuperar texto de fonte oficial verificável ",Historical norm
