record_id,title,authors,year,database,doi,language,duplicate,decision_stage,decision,exclusion_reason,notes
1,"Cultivated meat quality: a systematic review on the physicochemical, technological and sensory evaluation","Agostinis Ferreira, Guilherme and Poniewas, Luiza and De Macedo, Renata Ernlund Freitas",2026,Google Scholar,10.1080/10408398.2025.2528723,en,Não,Full-text eligibility,Excluded,purely technical study,
2,Critical perspective of animal production specialists on cell-based meat in Brazil: From bottleneck to best scenarios,"Heidemann, Marina S. and Taconeli, Cesar A. and Reis, Germano G. and Parisi, Giuliana and Molento, Carla FM",2020,Google Scholar,,,Não,Full-text eligibility,Excluded,no significant regulatory sections,
3,Ex Ante Emergy Synthesis of Cultivated Meat: Sustainability Insights and Benchmarks Against Conventional Systems,"Pereira, Roberto C. and Agostinho, Feni and Clasen, Arno P. and Almeida, Cecília MVB and Giannetti, Biagio F.",2026,Google Scholar,,,Não,Full-text eligibility,Excluded,purely technical study,
4,"Dynamics of Consumer Acceptance of Cultivated Meat in Future Food Systems: Mediation, Moderation, and Heterogeneity, A Quantitative Structural Equation Modeling Study in Brazil","Melo Mariano, Ari and Vargas de Souza Bento, Luana and Máximo Siqueira, Regiane and Rocha-Santos, Maíra",2026,Google Scholar,,,Não,Full-text eligibility,Excluded,no significant regulatory sections,
5,Trends in cultured meat: a bibliometric and sociometric analysis of publication,"Fernandes, Alice Munz and Fantinel, Antonio Luiz and de Souza, Ângela Rozane Leal and Révillion, Jean Philippe Palma",2019,Google Scholar,,,Não,Full-text eligibility,Excluded,fora do brasil; estudo sem seções regulatórias significantes,
6,Trends and technological challenges of 3D bioprinting in cultured meat: Technological prospection,"Barbosa, Willams and Correia, Paulo and Vieira, Jaqueline and Leal, Ingrid and Rodrigues, Letícia and Nery, Tatiana and Barbosa, Josiane and Soares, Milena",2023,Google Scholar,,,Não,Full-text eligibility,Excluded,purely technical study,
7,Cell-Based Meat and Food Policy,"Mancini, Maria Cecilia and Formici, Giulia and Mancini, Maria Cecilia and Scaffardi, Lucia",2025,Google Scholar,10.1007/978-3-032-14624-3_7,en,Não,Full-text eligibility,Excluded,outside Brazil,
8,"Cultivated meat: Technologies, commercialization and challenges","Soccol, Carlos Ricardo and Molento, Carla Forte Maiolino and Reis, Germano Glufke and Karp, Susan Grace",2024,Google Scholar,,,Não,Full-text eligibility,Excluded,book,
9,"Dynamics of Consumer Responses to Cultivated Meat in Future Food Systems: Mediation, Moderation, and Heterogeneity, A Quantitative Structural Equation Modeling Study in Brazil","Mariano, Ari Melo and de Souza Bento, Luana Vargas and Siqueira, Regiane Máximo and Rocha-Santos, Maíra",2026,Google Scholar,,,Não,Full-text eligibility,Excluded,no significant regulatory sections,
10,Global and Regional Policies for Cultivated Meat,"Marques, Maria and Morais-da-Silva, Rodrigo Luiz and Biscarra-Bellio, Jennifer C. and Ueta, Mariana Hase and Molento, Carla Forte Maiolino and Soccol, Carlos Ricardo and Molento, Carla Forte Maiolino and Reis, Germano Glufke and Karp, Susan Grace",2024,Google Scholar,10.1007/978-3-031-55968-6_18,en,Não,Full-text eligibility,Excluded,book; inaccessible,
11,Challenges and Prospects for Cultivated Meat Production,"Reis, Germano Glufke and Karp, Susan Grace and Molento, Carla Forte Maiolino and Soccol, Carlos Ricardo and Soccol, Carlos Ricardo and Molento, Carla Forte Maiolino and Reis, Germano Glufke and Karp, Susan Grace",2024,Google Scholar,10.1007/978-3-031-55968-6_21,en,Não,Full-text eligibility,Excluded,inaccessible; book,
12,Perspectives on cultured meat in countries with economies dependent on animal production: A review of potential challenges and opportunities,"da Silva, Bruno Dutra and Conte-Junior, Carlos Adam",2024,Google Scholar,,,Não,Full-text eligibility,Included,,
13,"Cultured Meat: A Multidimensional Review of Technological, Nutritional, Ethical, and Regulatory Advances (2020–2025)","Zão, Ana Carolina Agne Ferreira and Nogueira, Wesclen Vilar and Rondan, Filipe Soares and Scaglioni, Priscila Tessmer",2026,Google Scholar,10.1111/1750-3841.70915,en,Não,Full-text eligibility,Included,,
14,Drivers and barriers for the formation of the cultivated meat innovation ecosystem in Brazil: a multi-stakeholder perspective,"Cruz, Ana Paula Alves and Rocha, Thomaz Novais Novais and Fleury, Maria Tereza",2023,Google Scholar,,,Não,Full-text eligibility,Excluded,no significant regulatory sections,
15,Quality and Risk Control in Cultivated Meat Production,"De Macedo, Renata Ernlund Freitas and Ferreira, Guilherme Agostinis and Poniewas, Luiza and Barchiki, Fabiane and Rebelatto, Carmen Lúcia Kuniyoshi and Daga, Débora Regina and Costa, Leandro Batista and Rosa, Edvaldo Antonio Ribeiro and Soccol, Carlos Ricardo and Molento, Carla Forte Maiolino and Reis, Germano Glufke and Karp, Susan Grace",2024,Google Scholar,10.1007/978-3-031-55968-6_11,en,Não,Full-text eligibility,Excluded,book; inaccessible,
16,Livestock value chain in transition: Cultivated (cell-based) meat and the need for breakthrough capabilities,"Reis, Germano Glufke and Heidemann, Marina Sucha and Borini, Felipe Mendes and Molento, Carla Forte Maiolino",2020,Google Scholar,,,Não,Full-text eligibility,Excluded,no significant regulatory sections,
17,Tissue engineering challenges for cultivated meat to meet the real demand of a global market,"Santos, Andressa Cristina Antunes and Camarena, Denisse Esther Mallaupoma and Roncoli Reigado, Gustavo and Chambergo, Felipe S. and Nunes, Viviane Abreu and Trindade, Marco Antonio and Stuchi Maria-Engler, Silvya",2023,Google Scholar,,,Não,Full-text eligibility,Excluded,fora do tema; estudo puramente técnico,
18,On what basis do cooperatives engage in the cultivated meat market? Insights from Brazilian cooperatives,"da Silveira, Alexandre Borba and Abib, Gustavo and Reis, Germano Glufke",2026,Google Scholar,,,Não,Full-text eligibility,Excluded,no significant regulatory sections,
19,Regulatory Aspects of Cultivated Meat,"Cabral, Alexandre and De Oliveira Pereira, Isabela and Leitolis, Amanda and Soccol, Carlos Ricardo and Molento, Carla Forte Maiolino and Reis, Germano Glufke and Karp, Susan Grace",2024,Google Scholar,10.1007/978-3-031-55968-6_15,en,Não,Full-text eligibility,Excluded,inaccessible; book,
